* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, desert, sgjourney:abydos_desert, MONSTER, alexsmobs:farseer, 35, 1, 1
2, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:baby_skeleton, 5, 1, 2
3, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:baby_spider, 5, 3, 5
4, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:barrel_zombie, 10, 1, 1
5, desert, sgjourney:abydos_desert, MONSTER, quark:stoneling, 5, 1, 1
6, desert, sgjourney:abydos_desert, MONSTER, quark:toretoise, 5, 2, 4
7, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:bloody_gadfly, 10, 1, 1
8, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:bonescaller, 10, 1, 1
9, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:boulder, 20, 1, 1
10, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:corpse_fly, 5, 1, 3
11, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dark_vortex, 5, 1, 1
12, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:decaying_zombie, 5, 1, 1
13, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:decrepit_skeleton, 5, 1, 1
14, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:dig, 10, 1, 1
15, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dire_hound_leader, 5, 1, 1
16, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:door_knight, 5, 1, 1
17, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:dread_hound, 5, 3, 5
18, desert, sgjourney:abydos_desert, MONSTER, ancient_elements:drimble, 5, 1, 1
19, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:fallen_chaos_knight, 10, 1, 1
20, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:krampus, 20, 1, 1
21, desert, sgjourney:abydos_desert, MONSTER, born_in_chaos_v1:krampus_henchman, 20, 2, 3
